longitude,latitude,livingArea,years_since_built,GasStation_Count,GolfCourse_Count,average_bar_rating,household_income,TraderJoes_distance,best_school_rating,coast_distance,price
-117.25669,33.105644,3424.0,18.0,4.0,2.0,4.533333333333334,163402.0,1.4498929,5.0,19.08521348,1985000
-117.76053,33.853256,2820.0,48.0,9.0,2.0,-1.0,144348.0,3.10067552,5.0,0.06994449,1600000
-117.301994,33.059414,3168.0,50.0,8.0,1.0,-1.0,141329.0,2.57137957,5.0,1.79382603,2500000
-118.1713,33.837555,2002.0,80.0,22.0,3.0,-1.0,89319.0,1.03021903,5.0,1.30077467,1165000
-122.22683,37.477535,920.0,85.0,31.0,1.0,-1.0,139810.0,1.76406709,5.0,0.15890717,1175000
-121.90458,36.96897,1726.0,38.0,4.0,1.0,-1.0,136506.0,3.63787422,5.0,12.56412729,2195000
-121.61511,37.000717,3972.0,0.0,2.0,2.0,-1.0,128977.0,9.06673822,5.0,0.34946243,1750000
-122.030205,36.974785,3160.0,156.0,14.0,2.0,4.3,101962.0,0.3261487,5.0,2.52320688,1554000
-118.3552,33.86291,2666.0,60.0,25.0,1.0,-1.0,143785.0,0.74035432,5.0,1.20994999,1440000
-117.14308,32.947113,2572.0,30.0,6.0,0.0,-1.0,146754.0,2.77595739,5.0,9.0499997,1765000
-117.112625,33.028732,3169.0,17.0,3.0,0.0,-1.0,166804.0,3.88743951,5.0,0.40847729,2153000
-118.39561,33.86063,1756.0,35.0,10.0,0.0,-1.0,149500.0,0.30468115,5.0,1.12714166,1678000
-121.899345,36.590946,2103.0,28.0,11.0,2.0,4.75,103946.0,0.46740028,5.0,3.94544056,1375000
-117.18233,32.960464,2191.0,21.0,2.0,5.0,4.6,186000.0,0.52460932,5.0,16.92972878,1550000
-121.64465,37.1077,2098.0,47.0,9.0,0.0,4.366666666666666,153091.0,1.65298407,5.0,1.85958033,1475000
-122.426895,37.749874,1254.0,117.0,33.0,0.0,4.366666666666666,184671.0,1.80518396,5.0,10.16674089,1550000
-117.95751,33.83684,3950.0,61.0,23.0,1.0,4.5,76264.0,5.31919458,5.0,1.21586616,1313000
-117.25001,32.82038,2593.0,38.0,11.0,1.0,-1.0,136601.0,1.46170889,5.0,0.89239579,1785000
-119.225945,34.186153,3096.0,18.0,9.0,1.0,4.25,100074.0,4.95664991,5.0,4.47444149,1700000
-118.07563,33.823048,1417.0,62.0,18.0,2.0,-1.0,131535.0,2.41805282,5.0,2.66226264,1200000
-122.01011,37.54564,1166.0,71.0,22.0,0.0,-1.0,152076.0,1.32370436,5.0,0.88622697,1348000
-121.92271,36.620342,998.0,114.0,7.0,4.0,4.4,102553.0,1.02190354,5.0,9.35278549,1220000
-117.09069,32.986202,1472.0,54.0,6.0,2.0,-1.0,146754.0,0.9618715,5.0,11.22100283,1100000
-117.062454,32.9215,2261.0,21.0,3.0,0.0,-1.0,169448.0,3.09770003,5.0,3.36427674,1305000
-118.422226,34.00612,1200.0,100.0,26.0,1.0,4.266666666666667,100344.0,0.98426543,5.0,0.43384599,1535000
-121.881836,36.596626,1800.0,74.0,19.0,2.0,4.35,103946.0,0.70072041,5.0,0.31489572,1325000
-121.90149,36.97012,2021.0,58.0,4.0,1.0,4.1,136506.0,3.79271881,5.0,14.09649867,1299000
-117.88268,33.847996,2263.0,67.0,28.0,0.0,4.233333333333333,90512.0,3.03697619,5.0,4.40636933,1100000
-121.96656,37.559036,1314.0,33.0,9.0,1.0,-1.0,143146.0,1.51735049,5.0,16.93808322,1144000
-121.646095,37.10917,2670.0,43.0,10.0,0.0,-1.0,153091.0,1.57421329,5.0,5.2981719,1550000
-121.96158,37.05291,2656.0,44.0,0.0,0.0,-1.0,112068.0,5.13063232,5.0,0.46636107,1750000
-122.49094,37.693672,1620.0,70.0,12.0,4.0,-1.0,117289.0,0.62823944,5.0,6.17481714,1165000
-122.037445,37.625984,1904.0,65.0,13.0,3.0,4.2,103039.0,4.52702477,5.0,4.3521149,1225000
-122.03083,37.56883,1502.0,53.0,15.0,0.0,-1.0,152076.0,3.00979209,5.0,3.5011418,1900000
-117.25531,33.099625,2372.0,33.0,3.0,3.0,4.2,163402.0,1.85936737,5.0,4.44808877,1675000
-121.96745,37.354336,1336.0,74.0,20.0,1.0,4.2,119356.0,3.31903926,5.0,0.84663681,1705000
-121.92195,36.620644,2575.0,47.0,7.0,4.0,-1.0,102553.0,1.04179469,5.0,2.17246161,1900000
-122.43508,37.75787,1615.0,99.0,29.0,0.0,4.2,184671.0,1.76539205,5.0,5.59684637,1650000
-121.961365,37.338272,854.0,74.0,31.0,1.0,-1.0,119356.0,2.86184855,5.0,6.33299731,1528000
-117.14878,33.0005,6500.0,20.0,0.0,3.0,4.5,166804.0,3.66186156,5.0,4.31614188,1190000
-121.95455,37.35913,1356.0,70.0,16.0,1.0,-1.0,119356.0,2.77692233,5.0,1.66996978,1510000
-118.4508,33.997444,1713.0,103.0,18.0,1.0,4.266666666666667,111610.0,1.22198581,5.0,13.52793765,1850000
-121.67492,37.059055,2248.0,94.0,0.0,1.0,4.45,153091.0,5.35769962,5.0,1.26217737,1320000
-121.93566,36.600025,1866.0,54.0,4.0,7.0,4.15,102553.0,0.84914305,5.0,4.96664953,1215000
-122.03093,37.57793,1305.0,53.0,9.0,0.0,3.9,202832.0,3.4157049,5.0,1.65282154,1920000
-122.46925,37.694576,1350.0,83.0,16.0,4.0,-1.0,111795.0,0.81714393,5.0,1.46647927,1100000
-117.23716,32.947018,1584.0,28.0,6.0,3.0,-1.0,186000.0,2.82793441,5.0,1.15272348,1335000
-118.38665,33.87065,1679.0,56.0,15.0,1.0,4.4,143785.0,0.55920425,5.0,1.3222811,1425000
-122.41719,37.758022,1949.0,114.0,36.0,0.0,-1.0,152115.0,1.04370819,5.0,4.29889549,1775000
